anime_id,name,genre,type,episodes,rating,members,z_score_rating,z_score_members
32281,Kimi no Na wa.,"Drama, Romance, School, Supernatural",Movie,1,0.9243697478991597,0.1978666640365715,2.8244735854501113,3.2920442007221573
5114,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64,0.9111644657863145,0.7827686025811097,2.7170322049375146,14.002409716995597
28977,Gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,0.9099639855942379,0.11268314092543187,2.707264806709097,1.732215777594509
9253,Steins;Gate,"Sci-Fi, Thriller",TV,24,0.900360144057623,0.6643225943258984,2.6291256208817537,11.833499069317423
9969,Gintama&#039;,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,0.8991596638655464,0.1491796568712059,2.619358222653336,2.4005175904119356
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",TV,10,0.8979591836734695,0.09205892070756136,2.6095908244249184,1.3545577079851372
11061,Hunter x Hunter (2011),"Action, Adventure, Shounen, Super Power",TV,148,0.8955582232893158,0.42000286022852246,2.590056027968083,7.359665965715261
820,Ginga Eiyuu Densetsu,"Drama, Military, Sci-Fi, Space",OVA,110,0.8931572629051621,0.07956070835038787,2.570521231511246,1.1256981097789316
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,0.8919567827130852,0.07152741134524437,2.560753833282828,0.978597302693267
15417,Gintama&#039;: Enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,0.8931572629051621,0.07998481120026038,2.570521231511246,1.1334640210185678
4181,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24,0.887154861944778,0.4504731705633171,2.5216842403691575,7.917619597895068
28851,Koe no Katachi,"Drama, School, Shounen",Movie,1,0.8859543817527011,0.10131225312036138,2.5119168421407396,1.523999055078778
918,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,0.8847539015606243,0.33175100231284,2.5021494439123204,5.743652077781781
2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,0.8775510204081634,0.565019405171096,2.443545054541814,10.015119982685984
28891,Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",TV,25,0.8715486194477791,0.1768706141107895,2.3947080633997238,2.907577413584081
